id1	uid1	bw1	ew1	b1	e1	len1	tok1	s1	seq1	gid1	id2	uid2	bw2	ew2	b2	e2	len2	tok2	s2	seq2	gid2	matches	score
Shamela0023596-ara1.completed.ms066	8828462373600650284	11	143	51	733	1571	300	قوله سبحانه لو أردنا أن نتخذ لهوا----------------------- لاتخذناه من لدنا إن كنا فاعلين الأنبياء قال قتادة والحسن اللهو المرأة وقال ابن عباس ه---و الولد و------------------------------------------التفسيران متقاربان لأن ا-مرأة الرجل لهوه وولده لهوه ولذلك يقال امرأة الرجل وولده ريحانتاه وأصل اللهو الجماع فكني عنه باللهو --------كما كني عنه بالسر ثم قيل للمرأة لهو لأنها تجامع قال امرؤ القيس ألا زعمت بسباسة اليوم أنني كبرت وأ لا يحسن اللهو أمثالي أي النكاح ويروى أيضا وأ لا يحسن السر أمثالي أي النكاح وتأويل الآية أن النصارى لما قالت في المسيح وأمه ما قالت قال الله جل وعز لو أردنا أن نتخذ لهوا أي صاحبة وولدا كما يقولون لاتخذنا ذلك من لدنا أي من عندنا ولم نتخذه من عندكم لو كنا فاعلين ذلك لأنكم تعلمون أن ولد الرجل وزوج-ه يكونان عنده وبحضرته لا عند غيره --وقال	66	-2298784228722095805	Shamela0023594-ara1.ms1231	4285568389925222459	15	109	83	561	1525	300	قوله عز وجل لو أردنا أن نتخذ لهوا يعني زوجة بلغة حضر موت لاتخذناه من لدنا يعني من عندنا ق----------------------------------------ال ابن عباس اللهو الولد وقال الحسن وقتادة اللهو المرأة وقال القتبي التفسيران متقاربان لأن المرأة للرجل لهو- وولده لهو كما--- يقال هما-------------- ريحانتاه وأصل اللهو الجماع فكني -به بالمرأة والولد كما كني عنه باللمس---------------------------------------------------------------------------------------------------------------------------------------------------------- وتأويل الآية أن النصارى لما قالت في المسيح----- ما قالت قال الله -تعالى لو أردنا أن نتخذ لهوا أي ص-----------------احبة لاتخذنا---ه من لدنا أي من عندنا لا من------- عندكم ل------------------------------أن ولد الرجل وزوجته يكونان عند--------ه لا عند غيره ثم قال	1231	-6146459113630397427	347	470.5
Shamela0023596-ara1.completed.ms068	-6509501654928585493	176	242	937	1269	1574	300	يجزع--- جازع ولم يوجد لهم- فقد وقال آخرون أراد فما بكى عليهم أه-------------------ل السماء ولا أهل الأرض فأقام السماء والأرض مقام أهلهما كما قال تعالى وسئل القرية يوسف أراد أهل القرية وقال حتى تضع الحرب أوزارها محمد أي يضع أهل الحرب السلاح وقال ابن عباس لكل مؤمن باب في السماء يصعد فيه عمله وينزل منه رزقه فإذا مات بكى عليه الب---------اب وبكت عليه آثاره في الأرض	68	-2298784228722095805	Shamela0023594-ara1.ms1811	1548133108163815902	182	245	1004	1326	1596	300	يجزع له جازع ولم يقم لفقده فقد وقال بعضهم----- فما بكت عليهم السماء والأرض يعني أهل السماء وأه---ل الأرض فأقام السماء والأرض مقام أهله-ا كما قال------ وسئل القرية يوسف وقال بعضهم يعني بكت السماء بعينها وبكت الأرض و---------------------------قال ابن عباس لكل مؤمن باب في السماء يصعد فيه عمله وينزل منه رزقه فإذا مات بكى عليه بابه في السماء وبكت عليه آثاره في الأرض	1811	-6146459113630397427	227	361.0
Shamela0023596-ara1.completed.ms082	5489227665722942780	198	223	1025	1141	1512	300	أفمن زين له سوء عمله فرآه حسنا فإن الله يضل من يشاء ويهدي من يشاء فلا تذهب نفسك عليهم حسرات إن الله عليم بما يصنعون	82	-2298784228722095805	Shamela0023594-ara1.ms1616	3535885603708382033	212	237	1060	1176	1506	300	أفمن زين له سوء عمله فرآه حسنا فإن الله يضل من يشاء ويهدي من يشاء فلا تذهب نفسك عليهم حسرات إن الله عليم بما يصنعون	1616	-6146459113630397427	116	232.0
Shamela0023596-ara1.completed.ms084	2154871148823112062	151	195	764	977	1519	300	ما أريد منهم من رزق الذاريات أي ما أريد أن يرزقوا أنفسهم وما أريد أن يطعمون الذاريات أي ما أريد أن يطعموا أحدا من خلقي وأصل هذا أن البشر عباد الله وعياله فمن أطعم عيال رجل ورزقهم فقد رزقه وأطعمه إذ كان رزقهم عليه	84	-2298784228722095805	Shamela0023594-ara1.ms1900	6629139249948101656	80	121	424	622	1557	300	ما أريد منهم من رزق يعني ما خلقتهم ل----أن يرزقوا أنفسهم وما أريد أن يطعمون يعني لا أكلفهم أن ي-----طعموا أحدا من خلقي وأصل هذا أن الخلق عباد الله وعياله فمن أطعم عيال رجل ورزقهم فقد رزقه إذا------ كان رزقهم عليه	1900	-6146459113630397427	162	289.5
Shamela0023596-ara1.completed.ms098	-2518476026955909542	227	266	1126	1312	1479	300	نبإ الخصم------------------ إذ دخلوا على داود ففزع منهم قالوا لا تخف خصمان بغى بعضنا على بعض فاحكم بيننا بالحق ولا تشطط ص ثم قال-------------- إن هذا أخي له تسع وتسعون نعجة ولي نعجة واحدة فقال أكفلنيها وعزني في الخطاب	98	-2298784228722095805	Shamela0023594-ara1.ms1688	2356487942253669923	145	188	757	975	1534	300	نبأ الخصم إذ تسوروا المحراب إذ دخلوا على داود ففزع منهم قالوا لا تخف خصمان بغى بعضنا على بعض فاحكم بيننا بالحق ولا تشطط واهدنا إلى سواء الصراط إن هذآ أخي له تسع وتسعون نعجة ولي نعجة واحدة فقال أكفلنيها وعزني في الخطاب	1688	-6146459113630397427	176	333.5
Shamela0023596-ara1.completed.ms100	-71447335719409851	5	110	26	591	1566	300	تأويلان أحدهما أن تكون المخاطبة لرسول الله صلى الله عليه وسلم والمراد غ----يره من الشكاك لأن القرآن نزل عليه بمذاهب العرب كلهم وهم قد يخاطبون الرجل بالشيء ويريدون--- غيره ولذلك يقول متمثلهم إياك أعني واسمعي يا جار-ة ومثله قوله يا أيها النبي اتق الله ولا تطع الكافرين والمنافقين إن الله كان عليما حكيما الأحزاب الخطاب للنبي صلى الله عليه وسلم والمراد بالوصية والعظة المؤمنون يدلك على ذلك أنه قال واتبع ما يوحى إليك من ربك إن الله كان بما تعملون خبيرا الأحزاب ولم يقل بما تعمل خبيرا ومثل هذه الآية قوله وسئل من أرسلنا من قبلك من رسلنا أجعلنا من دون الرحمن آلهة يعبدون الزخرف	100	-2298784228722095805	Shamela0023594-ara1.ms0863	-6965857523814900842	188	265	918	1334	1500	300	تأويلان أحدهما أن تكون المخاطبة ل-----لنبي صلى الله عليه وسلم والمراد فيه غيره من الشكاك لأن القرآن نزل عليه بمذاهب العرب----- وهم--- يخاطبون الرجل ب--شيء ويريدون به غيره كما قالوا--------- إياك أعني واسمعي يا جارية وكق----وله يا أيها النبي اتق الله ولا تطع الكافرين والمنا------------------------فقين الأحزاب أ-----------------------------------راد به الأمة--------------- يدلك عليه قوله تعالى في آخره إن الله ------------------كان بما تعملون خبيرا النساء وكق-------------------------------------وله وسئل من أرسلنا من قبلك من رسلنا أجعلنا من دون الرحمن آلهة يعبدون الزخرف	863	-6146459113630397427	343	559.5
Shamela0023596-ara1.completed.ms106	4261301303643328953	70	147	380	780	1570	300	الفراء ونرى أصل ذلك أ---ن الرفقة أدنى ما تكون ثلاثة نفر فجرى كلام الواحد على صاحبيه ألا ترى أن الشعراء أكثر شيء قيلا يا صاحبي ويا خليلي وقال غير الفراء قال النبي صلى الله عليه وسلم الواحد شيطان والاثنان شيطانان والثلاثة ركب وتوعد معاوية روح بن زنباع فاعتذر روح فقال معاوية خليا عنه إذا الله سنى عقد شيء تيسرا وقوله سنى أي فتح قالوا وأدنى ما يكون الآمر والناهي بين الأعوان اثنان فجرى كلامهم على ذلك ووكل	106	-2298784228722095805	Shamela0023594-ara1.ms1886	3291138113209016291	249	296	1257	1495	1514	300	الفراء ي-رى أصل هذا أن أن الرفقة أدنى ما تكون ثلاثة نفر فجرى كلام الواحد على صاحبيه ألا ترى أن الشعراء أكثر شيء قيلا يا صاحبي ويا خليلي---------------- قال الشاعر فقلت لصاحبي لا تحبساني-------------------------------------------------------------------------------------------------------------------------------------------------- وأدنى ما يكون الأمر والن-هي في- الإعراب اثنان فجرى كلامهم على ذلك ومثل	1886	-6146459113630397427	199	326.5
Shamela0023596-ara1.completed.ms112	8044830728680511847	48	148	215	749	1542	300	إلا فريقا من المؤمنين وما كان له عليهم من سلطا--------------------------ن إلا لنعلم من يؤمن بالآخرة ممن هو منها في شك سبأ تأويله أن إبليس لما سأل الله تبارك وتعالى النظرة فأنظره قال لأغوينهم ولأضلنهم ولأمنينهم ولآمرنهم فليبتكن آذان الأنعام ولآمرنهم فليغيرن خلق الله ولأتخذن منهم نصيبا مفروضا وليس هو في وقت هذه المقالة مستيقنا أن ما قدره الله فيهم يتم وإنما قاله ظانا فلما اتبعوه وأطاعوه صدق ما ظنه عليهم أي فيهم ثم قال الله وما كان تسليطنا إياه إلا لنعلم من يؤمن أي المؤمنين من الشاكين وعلم الله تعالى نوعان أحدهما علم ما يكون من إيمان المؤمنين وكفر الكافرين	112	-2298784228722095805	Shamela0023594-ara1.ms1603	1971458288460757101	255	300	1260	1487	1487	300	على فريق- من المؤمني--------------------------ن إلا بالتزيين والوسوسة منه إلا لنعلم من يؤمن بالآخرة ممن هو منها في شك يعني نميز من يصدق بالبعث ممن------------------------------------------------------------------------------------------------------------------------------------------------------ هو في شك يعني من قيام الساعة و-----------------------------------------------------------------------------------------قال القتبي -------------------------------------------------------------علم الله------ نوعان أحدهما علم ما يكون من إيمان المؤمنين وكفر الكافرين	1603	-6146459113630397427	146	180.5
Shamela0023596-ara1.completed.ms112	8044830728680511847	223	247	1160	1273	1542	300	قل إنما أعظكم بواحدة أن تقوموا لله مثنى وفرادى ثم تتفكروا ما بصاحبكم من جنة إن هو إلا نذير لكم بين يدي عذاب شديد	112	-2298784228722095805	Shamela0023594-ara1.ms1611	7277822700975876400	1	25	6	119	1513	300	قل إنما أعظكم بواحدة أن تقوموا لله مثنى وفرادى ثم تتفكروا ما بصاحبكم من جنة إن هو إلا نذير لكم بين يدي عذاب شديد	1611	-6146459113630397427	113	226.0
Shamela0023596-ara1.completed.ms113	-3424648920343644923	182	280	920	1408	1510	300	ثم قبضناه إلينا قبضا يسيرا يعني الظل الممدود بعد غروب الشمس وذلك أن الشمس إذا غربت عاد الظل الممدود وذلك وقت قبضه وقوله قبضا يسيرا أي خفيا لأن ال----ظل بعد غروب الشمس لا يذهب كله دفعة واحدة ولا يقبل الظلام كله جملة وإنما يقبض الله جل وعز ذلك الظل قبضا خفيا شيئا بعد شيء ويعقب كل جزء منه يقبضه بجزء من سواد الليل حتى يذهب كله فدل الله عز وجل بهذا الوصف على قدرته ولطفه في معاقبته بين الشمس والظل والليل لمصالح عباده وبلاده وبعضهم يجعل قبض الظل---------------------- عند -نسخ الشمس إي-----------اه ويجعل قوله قبضا يسيرا -------أي سهلا	113	-2298784228722095805	Shamela0023594-ara1.ms1378	-2379909969622668517	175	251	867	1251	1515	300	ثم قبضناه إلينا قبضا يسيرا أ--ي الظل-------- بعد غروب الشمس وذلك أن الشمس إذا غابت عاد الظل و--------ذلك وقت قبضه------------------------- لأن ظل الشمس بعد غروب الشمس لا يذهب -------------------------------كله جملة وإنما يقبض الله------- ذلك الظل قبضا خفيا شيئا بعد شيء------------------------------------------------------- فدل الله تعالى- بهذا الوصف على قدرته ولطفه في معاقبته بين ال-------ظل والشمس لمصالح عباده وبلاده ويقال ثم قبضناه أي قبضناه سهلا ويقال يسيرا عند طلوع الشمس ويقال ثم قبضناه -----إلينا قبضا يسيرا يعني هينا سهلا	1378	-6146459113630397427	296	431.0
Shamela0023596-ara1.completed.ms114	4233622954930208186	28	66	150	343	1673	300	تجري لمستقر لها أي --إلى مستقر لها كما تقول هو يجري لغايته وإلى غايته ومستقرها أقصى منازلها في الغروب وذلك لأنها لا تزال تتقدم في كل ليلة حتى تنتهي إلى أبعد مغاربها ثم ترجع فذلك مستقرها لأنها لا	114	-2298784228722095805	Shamela0023594-ara1.ms1644	8907241075611196852	121	152	636	796	1545	300	تجري لمستقر لها يعني إلى مستقر لها----------------------------------- ومستقرها أقصى منازلها في الغروب وذلك لأنها لا تزال تتقدم في كل ليلة حتى تنتهي إلى أبعد مغاربها ثم ترجع فذلك مستقرها لأنها لا	1644	-6146459113630397427	155	285.5
Shamela0023596-ara1.completed.ms114	4233622954930208186	272	299	1535	1668	1673	300	انطلقوا إلى ما كنتم به تكذبون-------------------- انطلقوا إلى ظل ذي---------------------------------- ثلاث شعب-------------------------------------------------------------------------------------------------------------------------- لا ظليل------------------------------------------------------------------------------------- ولا يغني من اللهب------------------------------------------------------------------------------------------------------------ إنها ترمي بشرر كالقصر كأنه جمالت صفر المرسلات هذا ----------	114	-2298784228722095805	Shamela0023594-ara1.ms2101	-903838516308600519	24	131	119	631	1558	300	انطلقوا إلى ما كنتم به تكذبون من عذاب الله وعقابه انطلقوا إلى ظل أي دخان من نار جهنم قد يسطع ثم افترق ثلاث فرق فيكونون فيه إلى أن يفرغ من الحساب كما يكون أوليائه في ظله ثم يؤمر لكل فريق إلى مستقره الجنة أو إلى النار ثم وصف الظل فقال لا ظليل يعني لا يظلكم من حر هذا اليوم بل يزيدكم من لهب النار إلى ما هو أشد عليكم من حر الشمس ولا يغني من اللهب وهذا مثل قوله وظل من يحموم الواقعة وهو الدخان وهو سرادق أهل النار كما ذكر المفسرون سورة المرسلات الآيات الى إنها ترمي بشرر كالقصر كأنه جمالت صفر ويل يومئذ للمكذبين هذا	2101	-6146459113630397427	116	162.0
Shamela0023596-ara1.completed.ms115	4075910332427961691	9	178	47	878	1524	300	رؤوس الخلائق--- وليس عليهم يومئذ لباس ولا لهم -كنان فتلفحهم الشمس وتسفعهم وتأخذ بأنفاسهم ومد ذلك اليوم عليهم وكربه ثم ينجي الله------ برحمته من يشاء إلى ظل من ظله فهناك يقولون فمن الله علينا ووقانا عذاب السموم الطور ويقال للمكذبين انطلقوا إلى ما كنتم به تكذبون المرسلات من عذاب الله سبحانه وعقابه انطلقوا من ذلك إلى ظل من دخا---ن نار جهنم قد -سطع ثم افترق ثلاث فرق وكذلك شأن الدخان العظيم إذا ارتفع أن يتشعب فيكونون فيه إلى أن يفرغ من الحساب كما يكون أولياء الله في ظل عرشه أو حيث شاء من الظل إلى أن يفرغ من الحساب ثم يؤمر بكل فريق إلى مستقره من الجنة أو ال----نار ثم وصف الظل فقال لا ظليل أ--ي لا يظلكم من حر هذا اليوم بل يدنيكم من لهب النار إلى ما هو أشد عليكم من حر الشمس ولا يغني عنكم من اللهب وهذا مثل قوله سبحانه وظل من يحموم لا بارد ولا كريم الواقعة واليحموم الدخان وهو سرادق أهل النار فيما ذكر المفسرون ثم وصف النار فقال------- إنها ترمي بشرر كالقصر	115	-2298784228722095805	Shamela0023594-ara1.ms2101	-903838516308600519	1	124	6	593	1558	300	رؤوس الخلق أجمع وليس عليهم يومئذ لباس ولا لهم أكنان------------------------------------------------------------------ ينجي الله تعالى برحمته من يشاء إلى ظل من ظله ثم ق----------------------------------------------------ال للمكذبين انطلقوا إلى ما كنتم به تكذبون--------- من عذاب الل-------ه وعقابه انطلقوا------- إلى ظل أي دخان من نار جهنم قد يسطع ثم افترق ثلاث فرق------------------------------------------- فيكونون فيه إلى أن يفرغ من الحساب كما يكون أوليائ----ه في ظله ---------------------------------------------ثم يؤمر لكل فريق إلى مستقره--- الجنة أو إلى النار ثم وصف الظل فقال لا ظليل يعني لا يظلكم من حر هذا اليوم بل يزيدكم من لهب النار إلى ما هو أشد عليكم من حر الشمس ولا يغني من -----اللهب وهذا مثل قول-------ه وظل من يحمو-----------------م الواقعة وهو الد-----خان وهو سرادق أهل النار ك-ما ذكر المفسرون سورة المرسلات الآيات الى إنها ترمي بشرر كالقصر	2101	-6146459113630397427	516	845.0
Shamela0023596-ara1.completed.ms116	-5230525874612557071	207	237	1108	1263	1605	300	سورة البقر----ة أيود أحدكم أن تكون له جنة من نخيل وأعناب تجري من تحتها الأنهار له فيها من كل الثمرات وأصابه الكبر وله ذرية ضعفاء فأصابها إعصار فيه نار فاحترقت	116	-2298784228722095805	Shamela0023594-ara1.ms0208	8760822412232499465	236	267	1308	1467	1633	300	سورة البقرة آية أيود أحدكم أن تكون له جنة من نخيل وأعناب تجري من تحتها الأنهار له فيها من كل الثمرات وأصابه الكبر وله ذرية ضعفاء فأصابها إعصار فيه نار فاحترقت	208	-6146459113630397427	155	303.5
